Date,Time,levelname,Component,message,processname
2020-05-26,"09:45:22,841",INFO,MainProcess,Received task: task_analysis.sna[eb75abd8-2325-47e3-b646-813b2c8d4e84],celery2.log
2020-05-26,"10:13:04,580",WARNING,ForkPoolWorker-6,X.shape :,celery4-6.log
2020-05-26,"10:13:01,820",WARNING,ForkPoolWorker-6,make graph,celery4-6.log
2020-05-26,"09:45:22,691",INFO,MainProcess,Received task: task_analysis.topic[b786c34b-1e7d-479e-8e68-a04597c04d95],celery1.log
2020-05-26,"10:13:05,664",WARNING,ForkPoolWorker-6,graphbuild_finish,celery4-6.log
2020-05-26,"09:40:47,555",INFO,ForkPoolWorker-6,"PROGRESS: pass 0, at document #5419/5419",celery9-6.log
2020-05-26,"09:40:37,808",INFO,ForkPoolWorker-6,using serial LDA version on this node,celery9-6.log
2020-05-26,"10:17:15,947",WARNING,ForkPoolWorker-6,make graph,celery7-6.log
2020-05-26,"10:17:18,066",WARNING,ForkPoolWorker-6,X.shape :,celery7-6.log
2020-05-26,"10:17:18,066",WARNING,ForkPoolWorker-6,"(11116, 1126)",celery7-6.log
2020-05-26,"10:17:18,861",WARNING,ForkPoolWorker-6,graphbuild_finish,celery7-6.log
2020-05-26,"10:17:18,872",WARNING,ForkPoolWorker-6,<Response [200]>,celery7-6.log
2020-05-26,"10:17:18,877",INFO,ForkPoolWorker-6,Task task_analysis.sna[b5f3599a-8513-492e-9004-c73f1ce96b98] succeeded in 2.9296464258804917s: None,celery7-6.log
2020-05-26,"09:40:34,839",INFO,MainProcess,Received task: task_analysis.sna[d04f63a3-d437-4a7c-852a-e138b046e3e5],celery10.log
2020-05-26,"10:54:26,560",INFO,MainProcess,Received task: task_analysis.sna[f423fcbc-fcb9-49a2-bacb-5e1c3e568229],celery10.log
2020-05-26,"10:06:41,384",INFO,MainProcess,Received task: task_analysis.sna[a176f347-d750-4319-933e-6706816bba7e],celery3.log
2020-05-26,"09:45:22,968",WARNING,ForkPoolWorker-6,make graph,celery2-6.log
2020-05-26,"09:45:23,304",WARNING,ForkPoolWorker-6,"(1872, 1323)",celery2-6.log
2020-05-26,"09:40:47,554",INFO,ForkPoolWorker-6,"-8.534 per-word bound, 370.8 perplexity estimate based on a held-out corpus of 1419 documents with 331338 words",celery9-6.log
2020-05-26,"10:17:22,264",INFO,ForkPoolWorker-6,"topic #3 (0.200): 0.014*""코로나"" + 0.005*""기업"" + 0.005*""환경"" + 0.005*""기자"" + 0.003*""경영"" + 0.003*""지원"" + 0.003*""한국"" + 0.003*""대응"" + 0.003*""대한"" + 0.003*""제공""",celery5-6.log
2020-05-26,"10:17:22,264",INFO,ForkPoolWorker-6,"topic #2 (0.200): 0.010*""코로나"" + 0.005*""지원"" + 0.005*""기업"" + 0.004*""한국"" + 0.004*""환경"" + 0.004*""기자"" + 0.003*""제공"" + 0.003*""시장"" + 0.003*""대한"" + 0.003*""사업""",celery5-6.log
2020-05-26,"09:45:23,713",WARNING,ForkPoolWorker-6,graphbuild_finish,celery2-6.log
2020-05-26,"10:17:22,263",INFO,ForkPoolWorker-6,"topic #0 (0.200): 0.011*""코로나"" + 0.005*""환경"" + 0.005*""지원"" + 0.005*""기자"" + 0.004*""기업"" + 0.004*""한국"" + 0.003*""사업"" + 0.003*""정부"" + 0.003*""경영"" + 0.003*""투자""",celery5-6.log
2020-05-26,"10:17:19,456",INFO,ForkPoolWorker-6,"PROGRESS: pass 0, at document #1872/1872",celery5-6.log
2020-05-26,"10:17:19,456",INFO,ForkPoolWorker-6,"-10.308 per-word bound, 1267.9 perplexity estimate based on a held-out corpus of 1872 documents with 426931 words",celery5-6.log
2020-05-26,"09:45:23,304",WARNING,ForkPoolWorker-6,X.shape :,celery2-6.log
2020-05-26,"10:17:14,868",WARNING,ForkPoolWorker-6,"too few updates, training might not converge; consider increasing the number of passes or iterations to improve accuracy",celery5-6.log
2020-05-26,"10:06:41,765",INFO,MainProcess,missed heartbeat from worker@None,celery3.log
2020-05-26,"10:06:41,765",INFO,MainProcess,missed heartbeat from celery5@None,celery3.log
2020-05-26,"10:17:13,716",INFO,MainProcess,Received task: task_analysis.topic[43365875-6c96-4488-b2b0-68bd69016f3a],celery5.log
2020-05-26,"09:40:34,926",WARNING,ForkPoolWorker-6,topic,celery9-6.log
2020-05-26,"09:40:35,243",INFO,ForkPoolWorker-6,adding document #0 to Dictionary(0 unique tokens: []),celery9-6.log
